rollout/episode_reward,rollout/rew_surface_coverage_2d,time/total_timesteps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,rollout/episode_length,time/iterations,time/fps,time/training,train/n_updates,train/policy_gradient_loss,train/clip_range_vf,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate
0.57,0.586,344064,-0.059,0.02,0.547,20.533,21,248,6.697005271911621,100,-0.04483371814712882,0.2,4.007826805114746,6.05886443220079,0.43594970703125,0.2,0.078795835,-3.955273822322488,0.6027568578720093,0.0001
0.567,0.606,360448,-0.066,0.02,0.561,19.921,22,247,6.773046493530273,105,-0.04335331313632196,0.2,1.5819509029388428,5.774801428616047,0.446875,0.2,0.08036483,-3.988823414966464,0.6119488477706909,0.0001
0.532,0.61,376832,-0.06,0.023,0.573,19.93,23,247,6.775977849960327,110,-0.04564228732997435,0.2,5.9223408699035645,6.597769605368375,0.4348876953125,0.2,0.07652116,-3.916643571853638,0.5663425028324127,0.0001
0.53,0.567,393216,-0.07,0.017,0.514,18.172,24,247,6.690772294998169,115,-0.04245481234538602,0.2,4.026947975158691,5.957677768170834,0.4369873046875,0.2,0.080125526,-3.9513888493180276,0.6024248600006104,0.0001
0.546,0.587,409600,-0.064,0.019,0.542,19.259,25,247,6.740626573562622,120,-0.04365667673919234,0.2,3.5466136932373047,6.2098297767341135,0.44088134765625,0.2,0.0829996,-3.9084985364228486,0.5972698926925659,0.0001
0.543,0.599,425984,-0.06,0.022,0.56,19.024,26,247,6.783821105957031,125,-0.045903944305609914,0.2,3.787344217300415,6.354156965762376,0.44302978515625,0.2,0.08434418,-3.8879280466586352,0.5900408327579498,0.0001
0.542,0.559,442368,-0.067,0.018,0.51,18.717,27,247,6.791788816452026,130,-0.0445030842689448,0.2,3.632145643234253,5.916261084750294,0.45091552734375,0.2,0.07993895,-3.8921390123665334,0.619462251663208,0.0001
0.526,0.569,458752,-0.062,0.019,0.527,19.032,28,248,6.7647545337677,135,-0.046306444390211254,0.2,2.5039095878601074,6.116415408998728,0.43531494140625,0.2,0.08309147,-3.8495829824358223,0.6063131392002106,0.0001
0.51,0.566,475136,-0.061,0.018,0.524,18.165,29,248,6.77087140083313,140,-0.04101913818740286,0.2,3.839590549468994,6.549244355782866,0.4338623046875,0.2,0.07896471,-3.890798719599843,0.5766635835170746,0.0001
0.538,0.609,491520,-0.066,0.024,0.567,18.853,30,248,6.74861741065979,145,-0.041933398348919584,0.2,3.483950138092041,6.103261205926538,0.4519775390625,0.2,0.08830647,-3.8597211346030234,0.6115011870861053,0.0001
0.558,0.598,507904,-0.062,0.021,0.557,19.388,31,247,6.698559045791626,150,-0.043877815105952324,0.2,5.166652679443359,5.97882434129715,0.4365966796875,0.2,0.08853884,-3.882212498411536,0.6112998127937317,0.0001
