time/fps,rollout/episode_length,rollout/total_reward,rollout/episode_reward,time/iterations,time/total_timesteps,rollout/rew_surface_coverage_2d,rollout/rew_collision,rollout/rew_termination,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range_vf,train/n_updates,time/training,train/approx_kl,train/loss
119,10.649,0.468,0.457,40,655360,0.538,-0.086,0.017,-7.997180435941627,0.4030086398124695,0.0001,0.2,-0.02513265806380563,8.767763391059916,0.41920336787564766,0.2,195,4.386189699172974,0.066855356,5.921545028686523
119,11.712,0.486,0.472,41,671744,0.551,-0.083,0.018,-7.968989893595378,0.3500865697860718,0.0001,0.2,-0.039483621924051214,9.98450380052839,0.46148809523809525,0.2,200,5.9453935623168945,0.06265966,5.210028171539307
119,11.106,0.456,0.46,42,688128,0.527,-0.086,0.015,-7.9485491089017435,0.4034550189971924,0.0001,0.2,-0.031172722000302647,8.563058856279635,0.4440303610503282,0.2,205,5.129969596862793,0.05307292,7.62343168258667
118,11.917,0.481,0.478,43,704512,0.544,-0.081,0.018,-7.897307239859691,0.3583996295928955,0.0001,0.2,-0.032926676998810495,9.546350239092824,0.4392811794582393,0.2,210,5.012422561645508,0.050504122,6.881735801696777
119,12.419,0.509,0.521,44,720896,0.572,-0.081,0.018,-7.8891111406132906,0.3771559000015259,0.0001,0.2,-0.03774216081798965,9.168382290106408,0.44947502485089463,0.2,215,5.6751179695129395,0.054866254,6.704869270324707
119,12.112,0.508,0.499,45,737280,0.57,-0.081,0.019,-7.863995304415303,0.3908560276031494,0.0001,0.2,-0.017349502432250207,9.236307257990683,0.42600806451612905,0.2,220,3.4914612770080566,0.048707176,4.996148109436035
119,11.649,0.486,0.488,46,753664,0.553,-0.085,0.018,-7.84060088439509,0.4085898995399475,0.0001,0.2,-0.03585527111636663,8.56801900689901,0.4437784665991903,0.2,225,5.560221195220947,0.052105375,5.541457653045654
119,12.017,0.495,0.482,47,770048,0.56,-0.081,0.017,-7.841476327260335,0.37537437677383423,0.0001,0.2,-0.021596091707547505,9.160511452992758,0.4361041666666667,0.2,230,4.234023809432983,0.04684545,8.09720516204834
119,11.699,0.516,0.484,48,786432,0.58,-0.084,0.02,-7.802753129239275,0.3957822918891907,0.0001,0.2,-0.03536315509942231,9.429930213163656,0.45302505330490406,0.2,235,5.274558782577515,0.054210898,3.872250556945801
119,11.388,0.476,0.48,49,802816,0.545,-0.085,0.015,-7.7699295355621,0.4112589955329895,0.0001,0.2,-0.022527319319317295,8.632561186838416,0.4285090782122905,0.2,240,4.049638748168945,0.04753839,5.74674654006958
119,11.295,0.489,0.47,50,819200,0.552,-0.079,0.017,-7.723819982850706,0.36190706491470337,0.0001,0.2,-0.02530648706892094,9.728232705747926,0.42743506493506495,0.2,245,4.351752281188965,0.080566004,4.99167537689209
119,11.101,0.476,0.469,51,835584,0.544,-0.087,0.019,-7.710221548803447,0.39915162324905396,0.0001,0.2,-0.011298280785915977,8.79280224431723,0.41031137184115524,0.2,250,3.1148715019226074,0.049223214,6.1080803871154785
120,10.917,0.469,0.463,52,851968,0.54,-0.086,0.016,-7.708811137094452,0.3844059109687805,0.0001,0.2,-0.02946118559046653,9.238807414707384,0.44477048444976075,0.2,255,4.663665056228638,0.053774156,6.705111503601074
119,12.021,0.499,0.472,53,868352,0.558,-0.079,0.02,-7.709356151574047,0.37630099058151245,0.0001,0.2,-0.04310017986824168,9.317065032661384,0.4634724069148936,0.2,260,6.28406023979187,0.05892164,6.333538055419922
120,11.325,0.481,0.488,54,884736,0.549,-0.087,0.019,-7.7215597158984135,0.3659015893936157,0.0001,0.2,-0.01743935144163276,9.602747059182116,0.41190378289473684,0.2,265,3.400219678878784,0.050082266,8.30856990814209
119,11.332,0.471,0.476,55,901120,0.538,-0.084,0.016,-7.701329800390428,0.382840633392334,0.0001,0.2,-0.0351119509667799,9.539955298105875,0.44232190860215054,0.2,270,5.292797803878784,0.054269154,7.501071929931641
120,11.875,0.503,0.508,56,917504,0.568,-0.083,0.019,-7.642010055586349,0.41024476289749146,0.0001,0.2,-0.031870662156752376,8.68323721553004,0.4487463662790698,0.2,275,4.839332580566406,0.056479666,8.689457893371582
119,12.095,0.506,0.502,57,933888,0.567,-0.08,0.019,-7.585982291302337,0.40003979206085205,0.0001,0.2,-0.018357336252554084,9.490357989427812,0.43764694357366773,0.2,280,3.572422504425049,0.053148273,5.934173583984375
119,11.625,0.468,0.489,58,950272,0.54,-0.088,0.016,-7.645200171253898,0.38482779264450073,0.0001,0.2,0.004897156121759591,9.2039846832102,0.3713600852272727,0.2,285,2.002331256866455,0.038856547,6.2623138427734375
119,14.2,0.512,0.524,59,966656,0.572,-0.077,0.017,-7.590249861093392,0.4025418758392334,0.0001,0.2,-0.027467338223579833,8.843840015860728,0.4537515664160401,0.2,290,4.442839622497559,0.059938837,6.812864303588867
119,11.574,0.491,0.494,60,983040,0.557,-0.083,0.017,-7.540838331756197,0.3995431661605835,0.0001,0.2,-0.026125369766012915,9.00287675981077,0.4395644430051813,0.2,295,4.311031341552734,0.06941068,7.936662673950195
119,10.102,0.462,0.453,61,999424,0.533,-0.087,0.016,-7.50976730393363,0.39797282218933105,0.0001,0.2,-0.012220036819694446,8.950655832157269,0.43263767482517484,0.2,300,3.1986887454986572,0.0507155,7.559877395629883
119,12.171,0.506,0.493,62,1015808,0.566,-0.081,0.021,-7.504133299534315,0.3991706967353821,0.0001,0.2,-0.028563078213257594,9.305194081174836,0.44850938256658596,0.2,305,4.639245271682739,0.05699794,6.999711513519287
119,11.532,0.527,0.494,63,1032192,0.587,-0.08,0.021,-7.433573156731314,0.40223705768585205,0.0001,0.2,-0.031669837227048664,8.830038506146435,0.4491830764840183,0.2,310,4.789502382278442,0.054149866,7.727717399597168
119,11.751,0.47,0.492,64,1048576,0.54,-0.087,0.017,-7.398901161330436,0.4190673232078552,0.0001,0.2,-0.02825759588252477,8.738476708112165,0.438179347826087,0.2,315,4.556158781051636,0.06028348,4.266620635986328
120,11.856,0.486,0.499,65,1064960,0.548,-0.08,0.018,-7.419630890277346,0.39930325746536255,0.0001,0.2,-0.02287774259004452,9.096598743361767,0.44040435878962536,0.2,320,3.922470808029175,0.05122016,6.4112420082092285
119,11.53,0.485,0.501,66,1081344,0.556,-0.087,0.016,-7.380884675837275,0.3985220789909363,0.0001,0.2,-0.008990861861202033,9.091566343805683,0.42219566231343286,0.2,325,3.0282909870147705,0.05737714,6.064644813537598
120,11.217,0.459,0.458,67,1097728,0.523,-0.081,0.017,-7.353983401016868,0.4074324369430542,0.0001,0.2,-0.026002414307407455,9.058639846317508,0.43920012953367876,0.2,330,4.317707538604736,0.08045581,7.163704872131348
119,12.022,0.465,0.505,68,1114112,0.53,-0.081,0.016,-7.334523230636676,0.40337997674942017,0.0001,0.2,-0.02523963134301527,9.015097326565282,0.4449684261658031,0.2,335,4.3396313190460205,0.07440685,4.290183067321777
119,12.553,0.527,0.505,69,1130496,0.582,-0.076,0.021,-7.309129756666408,0.41809773445129395,0.0001,0.2,-0.007544725393246109,8.603132501754471,0.4288260456273764,0.2,340,2.8830511569976807,0.054887004,8.045610427856445
119,12.681,0.508,0.513,70,1146880,0.566,-0.078,0.02,-7.352797164291632,0.4127453565597534,0.0001,0.2,-0.0301620136560388,8.889379490175626,0.4583394320843091,0.2,345,4.768198251724243,0.056352466,5.154059410095215
