time/fps,rollout/rew_collision,time/iterations,rollout/total_reward,rollout/rew_surface_coverage_2d,rollout/episode_reward,rollout/rew_termination,rollout/episode_length,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/entropy_loss,train/loss,train/clip_range_vf,train/learning_rate,time/training,train/clip_fraction,train/explained_variance
254,-0.069,37,0.532,0.58,0.537,0.022,18.058,606208,0.2,-0.03245046087249648,0.17247313,180,5.765639428794384,-2.9898266047239304,3.500037908554077,0.2,0.0001,6.573582649230957,0.475439453125,0.6338135898113251
254,-0.068,38,0.507,0.556,0.546,0.019,18.454,622592,0.2,-0.03264254775570064,0.17744496,185,5.369787853272235,-2.9624994262320095,3.899289846420288,0.2,0.0001,6.2308220863342285,0.4716316598360656,0.6657704412937164
254,-0.065,39,0.513,0.558,0.516,0.02,17.086,638976,0.2,-0.005846967145440762,0.16406722,190,5.590721440586177,-2.994743624871427,4.926253318786621,0.2,0.0001,3.6563944816589355,0.4353693181818182,0.6390036344528198
253,-0.069,40,0.487,0.539,0.556,0.017,19.25,655360,0.2,-0.030593757538052675,0.18789157,195,5.702243975402935,-2.956811151054215,4.576930046081543,0.2,0.0001,6.088599443435669,0.4773397976391231,0.6418697834014893
254,-0.064,41,0.564,0.608,0.566,0.02,19.735,671744,0.2,-0.023789260936375227,0.15909515,200,5.841819454585353,-2.975889030483461,3.9166347980499268,0.2,0.0001,5.1018898487091064,0.45901587701612906,0.6273574829101562
254,-0.051,42,0.631,0.655,0.589,0.027,20.606,688128,0.2,-0.02995811873993161,0.20403835,205,5.6917653658596485,-2.9980999545047156,3.5179762840270996,0.2,0.0001,5.981081008911133,0.46946625636672323,0.6391519904136658
254,-0.068,43,0.555,0.602,0.573,0.021,19.659,704512,0.2,-0.023122111450640907,0.16945237,210,5.612924949504,-3.0013729969500536,2.130788564682007,0.2,0.0001,5.0916314125061035,0.4788260814889336,0.6421433389186859
254,-0.066,44,0.513,0.559,0.521,0.02,17.22,720896,0.2,0.007968164004024959,0.11200039,215,5.4458534398935905,-3.001649569805866,5.125166893005371,0.2,0.0001,2.1986889839172363,0.38536866359447003,0.6516340970993042
253,-0.066,45,0.514,0.56,0.563,0.02,19.458,737280,0.2,-0.03297053103901069,0.19104798,220,5.571217561447168,-2.9334702280503286,2.2496073246002197,0.2,0.0001,6.429147243499756,0.4779717167721519,0.644976794719696
254,-0.065,46,0.548,0.592,0.554,0.022,19.661,753664,0.2,0.037094204778303254,0.56375206,225,5.237822819839824,-2.991335973595128,5.317591190338135,0.2,0.0001,1.3514397144317627,0.3611505681818182,0.6610020697116852
254,-0.066,47,0.552,0.597,0.563,0.02,19.227,770048,0.2,0.011032046506730106,0.11739265,230,5.328451812514626,-2.947944337401647,2.9730687141418457,0.2,0.0001,2.459519147872925,0.4240469398340249,0.6564069986343384
254,-0.059,48,0.604,0.638,0.542,0.025,18.915,786432,0.2,0.026348034319068705,0.04978609,235,5.197161408833095,-2.9584934234619142,6.093070983886719,0.2,0.0001,0.35445547103881836,0.2330357142857143,0.653633326292038
255,-0.058,49,0.593,0.627,0.568,0.023,19.508,802816,0.2,0.02974543613071243,0.29894698,240,5.340710520744324,-2.991744267145793,3.5086123943328857,0.2,0.0001,1.5362353324890137,0.3720833333333333,0.6596518158912659
255,-0.062,50,0.565,0.604,0.582,0.022,19.857,819200,0.2,-0.0336198038465227,0.18380395,245,5.412480601295829,-2.996485352143645,3.307551383972168,0.2,0.0001,6.477588653564453,0.49490966796875,0.6454800069332123
255,-0.062,51,0.584,0.622,0.566,0.024,19.579,835584,0.2,-0.0211087665066786,0.1813851,250,5.146626614413019,-2.976338326425876,2.5224838256835938,0.2,0.0001,4.755923748016357,0.4662175582627119,0.6743370592594147
255,-0.054,52,0.629,0.657,0.58,0.025,19.82,851968,0.2,0.008084350585270284,0.5102063,255,5.216230417365458,-2.9724873651319474,3.0003738403320312,0.2,0.0001,2.7351877689361572,0.40333488805970147,0.6738904416561127
255,-0.057,53,0.585,0.621,0.549,0.022,18.335,868352,0.2,-0.02884467652350559,0.20036584,260,5.533200829694634,-2.9625378804998768,3.5905277729034424,0.2,0.0001,5.710546970367432,0.4661688383392226,0.6455542147159576
255,-0.063,54,0.59,0.63,0.565,0.023,19.302,884736,0.2,0.03058987082197116,0.16049398,265,5.32876271801395,-2.9454856018920044,4.03666877746582,0.2,0.0001,1.4473333358764648,0.36079545454545453,0.6624664664268494
254,-0.055,55,0.627,0.655,0.601,0.026,21.409,901120,0.2,-0.028188232886629777,0.20664236,270,4.888169479624205,-3.0330134246954907,2.0942108631134033,0.2,0.0001,5.71822190284729,0.4740508436944938,0.6835964620113373
255,-0.063,56,0.525,0.567,0.536,0.021,18.627,917504,0.2,-0.03211974372097757,0.18497221,275,5.208342140913009,-3.019042168185115,2.9639892578125,0.2,0.0001,6.489145040512085,0.48023681640625,0.666191428899765
255,-0.067,57,0.53,0.579,0.559,0.019,19.847,933888,0.2,-0.033697921030397995,0.190558,280,5.607581621408462,-2.963886405155063,3.4945578575134277,0.2,0.0001,6.461491823196411,0.47816162109375,0.6476171016693115
256,-0.066,58,0.538,0.584,0.567,0.019,19.759,950272,0.2,-0.017947103615747206,0.16382551,285,5.3264496694512085,-2.9545096587475546,2.482182741165161,0.2,0.0001,4.347303152084351,0.4461585541474654,0.6545092165470123
255,-0.058,59,0.565,0.602,0.589,0.021,19.873,966656,0.2,-0.0015069847577251494,0.14653175,290,5.611198592753637,-2.990665730266344,3.1330161094665527,0.2,0.0001,3.3776776790618896,0.43559337797619047,0.6398683190345764
256,-0.061,60,0.576,0.614,0.565,0.023,19.739,983040,0.2,0.026387838354238715,0.137009,295,5.087192160960956,-2.9821042785277734,4.371776580810547,0.2,0.0001,1.5681538581848145,0.3776542467948718,0.6716565191745758
