rollout/rew_surface_coverage_2d,time/iterations,rollout/rew_collision,time/total_timesteps,rollout/episode_reward,time/fps,rollout/episode_length,rollout/rew_termination,rollout/total_reward,time/training,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/clip_range_vf,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction
0.616,97,-0.059,1589248,0.566,258,19.664,0.024,0.581,6.460253000259399,0.15180859,0.2,0.0001,480,0.2,2.308589220046997,-0.03676206461386755,-2.9913339842110873,5.797788764536381,0.624622106552124,0.48837890625
0.607,98,-0.061,1605632,0.557,257,20.252,0.021,0.567,6.441293001174927,0.16375296,0.2,0.0001,485,0.2,5.753763198852539,-0.0380461552151246,-2.915092010423541,5.935516377165913,0.6288679838180542,0.49488525390625
0.603,99,-0.066,1622016,0.544,257,18.429,0.021,0.558,5.935033082962036,0.16563292,0.2,0.0001,490,0.2,3.741580009460449,-0.03485634091555619,-2.92336667188116,5.397747680544853,0.6625271439552307,0.48176203547297297
0.559,100,-0.062,1638400,0.522,257,17.846,0.018,0.515,6.233302593231201,0.18485175,0.2,0.0001,495,0.2,3.4613661766052246,-0.032960707810029244,-2.8644447797324664,6.171898293263704,0.6119253039360046,0.49421015372168287
0.572,101,-0.063,1654784,0.552,257,18.575,0.02,0.529,6.447541952133179,0.16624886,0.2,0.0001,500,0.2,3.0629372596740723,-0.036153800838656026,-2.9340899284929036,5.613853891193867,0.6327517032623291,0.4981201171875
0.636,102,-0.062,1671168,0.561,256,19.457,0.022,0.597,4.0984296798706055,0.1711675,0.2,0.0001,505,0.2,3.376408338546753,-0.015373194380206805,-2.9065451131147495,5.829973976401722,0.6277956664562225,0.4480124080882353
0.619,103,-0.06,1687552,0.561,258,19.592,0.021,0.581,6.057252407073975,0.19122554,0.2,0.0001,510,0.2,3.2572033405303955,-0.03337420087877952,-2.9112155405733233,5.67509581523013,0.6315672695636749,0.48424500831946754
0.613,104,-0.071,1703936,0.568,257,19.188,0.024,0.565,6.481406927108765,0.16969472,0.2,0.0001,515,0.2,3.3631887435913086,-0.037917183680838205,-2.8648779071867465,5.4955405846238135,0.647824227809906,0.49332275390625
0.616,105,-0.064,1720320,0.582,256,20.476,0.023,0.575,2.861250877380371,0.15374197,0.2,0.0001,520,0.2,3.6921911239624023,0.0010382870473621185,-2.8280780323764736,5.735608676441929,0.6383634507656097,0.43048245614035086
0.568,106,-0.063,1736704,0.535,256,18.941,0.021,0.526,2.592831611633301,0.31837174,0.2,0.0001,525,0.2,3.707251787185669,0.007653324219351455,-2.8771687207534966,5.727833978918068,0.634217768907547,0.4221464768339768
0.639,107,-0.062,1753088,0.565,257,19.362,0.021,0.598,6.409773588180542,0.16858152,0.2,0.0001,530,0.2,3.7693674564361572,-0.03488412903934659,-2.8624323792755604,6.231149132177234,0.606285810470581,0.50155029296875
0.566,108,-0.066,1769472,0.529,258,18.071,0.019,0.519,6.451188087463379,0.1673996,0.2,0.0001,535,0.2,3.144137144088745,-0.03878586501159589,-2.8604505602270365,5.720584078878164,0.6303623616695404,0.497705078125
0.597,109,-0.063,1785856,0.575,257,20.357,0.022,0.556,2.6851866245269775,0.3553091,0.2,0.0001,540,0.2,4.258937835693359,0.004896351034732017,-2.9221049466527496,6.021150988743718,0.6292312741279602,0.42642739661654133
0.59,110,-0.062,1802240,0.532,257,17.426,0.022,0.55,6.450721979141235,0.16126783,0.2,0.0001,545,0.2,4.072706699371338,-0.03641279529983876,-2.9123089600354435,5.563552439212799,0.645444929599762,0.5035400390625
0.633,111,-0.065,1818624,0.568,257,19.39,0.024,0.592,3.502178430557251,0.13066132,0.2,0.0001,550,0.2,4.895784378051758,-0.009095748302711962,-2.9353817161977807,6.1523722372412335,0.6084409058094025,0.44132744956772335
0.601,112,-0.063,1835008,0.557,257,18.742,0.021,0.559,6.403740406036377,0.17027578,0.2,0.0001,555,0.2,2.9006104469299316,-0.03799451194499852,-2.9121440291404723,5.7614529699087145,0.6320068836212158,0.4982666015625
0.568,113,-0.067,1851392,0.557,257,18.793,0.02,0.521,6.4185192584991455,0.17218539,0.2,0.0001,560,0.2,2.0365023612976074,-0.037941633508307857,-2.9029767517000438,5.71728030666709,0.6430017948150635,0.493994140625
0.59,114,-0.069,1867776,0.55,257,18.826,0.021,0.543,6.48191499710083,0.1787166,0.2,0.0001,565,0.2,2.614546298980713,-0.03937166001851437,-2.830098890513182,5.958758326992393,0.6217228770256042,0.4896240234375
0.635,115,-0.062,1884160,0.558,256,19.502,0.022,0.595,4.864123106002808,0.15590914,0.2,0.0001,570,0.2,4.970431327819824,-0.02626905580118452,-2.9056757533673157,6.059286258146935,0.6184804439544678,0.46469072164948455
